category,description,title,brand,rank,price,productID
"['Books', 'Business & Money', 'Economics']","[""`Epic and evocative...as readable as it is exotic.' Independent `Splendid. Erudite, urbane and original. An appetising debut.' SundayTelegraph `Sumptuous. Turner is equally at ease in antiquity and the Middle Ages.' Guardian"", 'Formerly a MacArthur Foundation Research Fellow of Exeter College, Oxford, and a Rhodes Scholar, Jack Turner has been cook, farmhand, and photographer, and has lived and travelled in Britain, Spain, Indochina, South America, Syria, Southern Africa and Australia. He has a first-class degree from Melbourne University and a D.Phil from Oxford. He can speak and/or read seven languages.']",Spice: The History of a Temptation,Visit Amazon's Jack Turner Page,"12,587,601 in Books (",$38.24,0006551734
"['Books', 'Christian Books & Bibles', 'Theology']",[],Jesus and the Goddess : The Secret Teachings of the Original Christians,Peter Freke Timothy; Gandy,"3,790,053 in Books (",$8.01,000710071X
"['Books', 'Literature & Fiction', 'Contemporary']","['Praise for ABARAT I illustrated hardback edition: ""ABARAT is more than just a new and major contender. It is (like his earlier book, THE THIEF OF ALWAYS) full of a level of beautiful terror that children are still just able to bear"" Independent ""Always creating and always pushing into the furthest reaches of the human mind, he is an artist in every sense of the word. He is the great imaginer of our time"" Quentin Tarantino ""You\'re eager to love this beautiful, heavy, richly coloured slab of a book. And thankfully it\'s easy to love...Abarat is a sumptuous and lovely thing. With beautiful pictures of monsters."" The Guardian ""A blend of Alice in Wonderland and The Lion, the Witch and the Wardrobe"" Entertainment Weekly ""Embraces the lands of Oz, Wonderland and Narnia"" Booklist', 'Clive Barker was born in Liverpool in 1952. He is the worldwide bestselling author of the Books of Blood, and numerous novels including Imajica, The Great and Secret Show, Sacrament and Galilee. In addition to his work as a novelist and short sotry writer le also illustrates, writes, directs and produces for the stage and screen.']","Abarat: Days of Magic, Nights of War (Bk.2)",Visit Amazon's Clive Barker Page,"2,718,910 in Books (",$45.32,0007100450
"['Books', ""Children's Books"", 'Mysteries & Detectives']","[""In searching for a lost parrot who recites Shakespeare with a stutter, Jupiter Jones' firm of young detectives becomes involved with a missing masterpiece.""]",Mystery of the Stuttering Parrot (The Three Investigators),Visit Amazon's Robert Arthur Page,"9,514,704 in Books (",$14.05,0006904408
"['Books', 'Biographies & Memoirs']",[],Dutch : A Memoir of Ronald Reagan,Visit Amazon's Edmund Morris Page,"15,865,512 in Books (",$7.00,0007102623
"['Books', 'Literature & Fiction', 'Action & Adventure']","['Praise for ABARAT I illustrated hardback edition: ""ABARAT is more than just a new and major contender. It is (like his earlier book, THE THIEF OF ALWAYS) full of a level of beautiful terror that children are still just able to bear"" Independent ""Always creating and always pushing into the furthest reaches of the human mind, he is an artist in every sense of the word. He is the great imaginer of our time"" Quentin Tarantino ""You\'re eager to love this beautiful, heavy, richly coloured slab of a book. And thankfully it\'s easy to love...Abarat is a sumptuous and lovely thing. With beautiful pictures of monsters."" The Guardian', 'Clive Barker is the bestselling author of twenty-two books, including the New York Times bestsellers Abarat; Abarat: Days of Magic, Nights of War; and The Thief of Always. He is also an acclaimed painter, film producer, and director. For twelve years Mr. Barker has been working on a vast array of paintings to illuminate the text of The Books of Abarat, more than one hundred and twenty-five of which can be found within this volume. Mr. Barker lives in California. He shares his house with seven dogs, three cockatiels, several undomesticated geckoes, an African gray parrot called Smokey, and a yellow-headed Amazon parrot called Malingo.']",Absolute Midnight (Books of Abarat),Visit Amazon's Clive Barker Page,"5,302,780 in Books (",,0007100477
"['Books', 'Computers & Technology', 'Hardware & DIY']",['This is a revision of the classic introduction to the field for all computer scientists and engineers. It includes improved examples of current architectures and updated pipelining and memory chapters to address modern processors.'],Computer Organization and Design: The Hardware/Software Interface- Text Only,Visit Amazon's David A. Patterson Page,"11,496,075 in Books (",$12.99,0006895441
"['Books', 'Business & Money', 'Management & Leadership']","['With a new foreword by Ken Blanchard Adapting One Minute Manager techniques to enable successful leadership to happen. Using different ways to motivate different kinds of people. Leadership and The One Minute Manager goes straight to the heart of management as it describes the effective, adaptive styles of Situational Leadership. In clear and simple terms it teaches how to become a flexible and successful leader, fitting your style to the needs of the individual and to the situation at hand, and using the One Minute Manager techniques to enhance the motivation of others.']",Leadership and the One Minute Manager,Visit Amazon's Ken Blanchard Page,"171,914 in Books (",$9.50,0007103417
"['Books', 'Science Fiction & Fantasy', 'Fantasy']","[""The novel of the BkyB and Hallmark co-venture 'The 10th Kingdom' is a contemporary drama set in a fantasy world where magic and fairy tale characters come to life. This is an Alice in Wonderland for grown-ups and children alike, a witty and satirical reflection of contemporary society told as an epic tale of good versus evil. Follow the thrilling adventures of Virginia and Tony, a father and daughter from New York, who unwittingly find themselves in a parallel universe known as The Nine Kingdoms. Virginia and Tony join forces with a schizophrenic man-wolf, and Prince, a handsome golden retriever formally known as Prince Wendell, grandson of Snow White until his wicked stepmother turned him into a dog. The unlikely heroes then embark on an epic quest to save Prince from the evil Queen and restore him to the throne. This lavish $40 million 10 x 1 hour fantasy drama will be broadcast on Sky One in the UK from Sunday 16th April at 7pm and the next 9 Sunday's thereafter.""]",The 10th Kingdom,Visit Amazon's Kathryn Wesley Page,"555,526 in Books (",$31.52,0007102658
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""Praise for earlier writing: 'Drama, passion, intrigue and danger, I loved it and didn't want it to end ever.' Maureen Waller, Sunday Times. 'Very readable and highly entertaining' Financial Times 'Quite simply, splendid ' Frank Delaney 'She captures the feel of the period, with wit, verve and emotion. I hated coming to the end of the book.' Woman's Own"", 'Diana Norman is married to film critic Barry Norman, and lives in Hertfordshire.']",A Catch of Consequence,Visit Amazon's Diana Norman Page,"3,171,715 in Books (",$6.65,0007105436
"['Books', 'Science Fiction & Fantasy', 'Science Fiction']",[],The Complete History of Middle-Earth,Visit Amazon's Christopher Tolkien Page,"645,966 in Books (",$194.42,0007105088
"['Books', 'Literature & Fiction', 'Genre Fiction']","['', 'Praise for the Wars of Light and Shadow:', 'Astonishingly original and compelling A gifted creator of wonder Raymond E Feist', 'Janny Wurts builds beautiful castles in the air  where every detail is richly imagined and vividly rendered Diana Gabaldon', 'It ought to be illegal for one person to have so much talent Stephen Donaldson', '', 'Janny Wurts is the author of the Cycle of Fire series, co-author of the worldwide bestselling Empire series with Raymond E. Feist, and is currently working on the Wars of Light and Shadow series. She often paints her own covers and is also an expert horsewoman, sailor, musician and archer.']","Peril&rsquo;s Gate: Third Book of The Alliance of Light (The Wars of Light and Shadow, Book 6) (The Wars of Light and Shadow series)",Visit Amazon's Janny Wurts Page,"1,059,223 in Books (",$10.85,0007101082
"['Books', 'Literature & Fiction', 'Action & Adventure']","[""`Brilliantly written... an inspired thriller... his finest work.' Washington Post `Complexly plotted, thickly layered evil... the ultimate horror!' New York Times `A blood-chilling hair-raiser!' Los Angeles Times"", 'Peter Straub was born in Milwaukee, and is the author of fourteen novels, including Ghost Story and The Talisman (with Stephen King). He has won the British Fantasy Award, two Bram Stoker Awards, the International Horror Guild Award and two World Fantasy Awards, and was elected Grand Master at the 1998 World Horror Convention. His books have been translated into more than twenty languages. He has lived in Ireland and England, and now lives in New York City.']",Koko,Visit Amazon's Peter Straub Page,"14,695,746 in Books (",$45.39,0007103670
"['Books', ""Children's Books"", 'Mysteries & Detectives']",[],Secret of the Caves,Visit Amazon's Franklin W. Dixon Page,"12,037,108 in Books (",$5.98,0006913636
"['Books', 'Literature & Fiction', 'Contemporary']",[],A Suitable Boy,Visit Amazon's Vikram Seth Page,"17,492,374 in Books (",$11.72,0007105673
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""<div>For 30 years, Robert Ludlum's novels have set the standard for the finest in international intrigue and suspense. With an unbroken string of bestsellers in almost every country in the world, Robert Ludlum's books have been enjoyed by hundreds of millions of readers, and are widely acknowledged as classics in the field. Now, after the bestselling Covert-One novels <i>The Hades Factor</i> and <i>The Cassandra Compact</i> comes the third thrilling novel in the series - <i>The Paris Option</i>.<br><br>A fiery explosion in the dark of night shatters one of the laboratory buildings in Paris's esteemed Pasteur Institute. Among the dead is Emile Chambord, one of the leaders in the global race to create a molecular - or DNA - computer. Unfortunately, Professor Chambord kept the details of his work secret, and his notes were apparently destroyed in either the bomb blast or the raging fire that followed.<br><br>The scientific community does not expect a workable DNA computer to be developed for years. But suddenly U.S. fighter jets disappear from radar screens for a full five minutes, and there's no explanation. Utilities across the Western states cease functioning, and all telecommunications abruptly stop, with devastating consequences. This is not the work of a clever hacker, although Washington, worried about a panic, assures the public it is. Only the enormous power and speed of a DNA computer could have caused such havoc.<br><br>Under the cover of visiting his friend Marty Zellerbach, who was severely injured when the Pasteur lab was destroyed, Covert-One agent Jon Smith flies to Paris to search for the connection between the Pasteur explosion and the forces now wielding the computer. Following a trail that leads him across two continents, Smith uncovers a web of deception that threatens to wreck havoc and forever reshape the world.<br></div>""]",Robert Ludlum's the Paris Option : A Covert-One Novel,Visit Amazon's Robert Ludlum Page,"1,273,623 in Books (",$1.80,0007101716
"['Books', ""Children's Books"", 'Mysteries & Detectives']","['Carolyn Keene is a pen name used by a variety of authors for the classic Nancy Drew Mystery series. The first author to use the pseudonym was Mildred Wirt Benson, who wrote 23 of the original 30 books. Other writers who have adapted the ""Carolyn Keene"" moniker include Leslie McFarlane, James Duncan Lawrence, Walter Karig, and Nancy Axelrod.\n\t\t\t\t\t\t    \t\n\t\t\t\t\t\t        \t--This text refers to the <a href=\'/dp/0448095122/ref=dp_bookdescription?_encoding=UTF8&amp;n=283155\'>Hardcover</a> edition.']","The Message in the Hollow Oak (Nancy Drew, Book 12)",Visit Amazon's Carolyn Keene Page,"2,460,600 in Books (",$4.71,0006910637
"['Books', 'Literature & Fiction', 'Genre Fiction']",[],Sky Is Falling,Visit Amazon's Sidney Sheldon Page,"7,238,767 in Books (",$2.60,0007104359
"['Books', 'Sports & Outdoors', 'Biographies']",[],Mankind: Have a Nice Day - A Tale of Blood and Sweatsocks,MICK FOLEY,"7,436,987 in Books (",$2.50,0007105568
"['Books', 'Literature & Fiction', 'Genre Fiction']","['', 'Astonishingly original and compelling A gifted creator of wonder<br />RAYMOND E. FEIST', 'It ought to be illegal for one person to have so much talent<br />STEPHEN DONALDSON', 'A fascinating fantasy tale set in a delightful world Dreamwatch', 'One to skive off work for Starburst', 'Full of intriguing characters, dark magic, courage and mystery. Janny Wurts has created a masterpiece! Alien Online', '', 'Janny Wurts is the author of the Cycle of Fire series, co-author of the worldwide bestselling Empire series with Raymond E. Feist, and is currently working through the Wars of Light and Shadow series. She often paints her own covers and is also an expert horsewoman, sailor, musician and archer.']",To Ride Hell&rsquo;s Chasm,Visit Amazon's Janny Wurts Page,"1,657,598 in Books (",$8.95,0007101112
"['Books', 'Business & Money', 'Management & Leadership']","[""How to apply the key techniques learnt in One-Minute Manager. This is the companion to the original blockbuster bestseller which has transformed businesses around the world. This is the essential companion volume to The One Minute Manager, the international bestseller praised by top managers around the world. This book shows how the One Minute management techniques can be applied on a day-to-day basis to improve performance, productivity and profits. Their message is that there is no 'quick fix'. The keys to successful management are conviction and consistency. Putting the One Minute Manager to Work is essential reading for all those who aspire to management, and to managing well.""]",Putting the One Minute Manager to Work,Kenneth H. Blanchard,"604,790 in Books (",$14.43,0007109628
"['Books', 'Literature & Fiction', 'Contemporary']","['Book by Runcie, James']",The Discovery Of Chocolate: A Novel,JAMES RUNCIE,"4,540,351 in Books (",$51.01,000710782X
"['Books', 'Science Fiction & Fantasy', 'Fantasy']","[""Praise for McDevitt: 'Jack McDevitt is that splendid rarity! a storyteller first and a science fiction writer second. In his ability to absolutely rivet the reader, he is the logical heir to Asimov and Arthur C. Clarke! . Snatch this baby up, all right? You're going to love it even if you think you don't like science fiction. You might even want to drop me a thank-you note for the tip before racing out to your local bookstore to pick up the Jack McDevitt backlist' STEPHEN KING"", 'Jack McDevitt is widely regarded by his fellow professionals as one of the finest sf writers working in the USA. His previous novels include Ancient Shores, Moonfall and the highly acclaimed The Engines of God. He has served as an officer in the US Navy, taught English and literature, and worked for the US Customs Service. He currently lives in Georgia, USA.']",Deepsix,Visit Amazon's Jack McDevitt Page,"13,527,604 in Books (",$4.71,0007108796
"['Books', 'Biographies & Memoirs', 'Arts & Literature']","[""The inside story of the one of the most successful British stand-up comedians, as told by the person best qualified to reveal all about the man behind the comic, his wife of over 20 years -- Pamela Stephenson. Once in a lifetime, there strides upon the stage someone who can truly be called a legend. Such a person is the inimitable, timeless genius who is Billy Connolly. His effortlessly wicked whimsy has entranced, enthralled -- and split the sides of -- thousands upon thousands of adoring audiences. And when he isn't doing that!he's turning in award-winning performances on film and television. He's the man who needs no introduction, and yet he is the ultimate enigma. From a troubled and desperately poor childhood in the docklands of Glasgow he is now the intimate of household names the world over. How did this happen, who is the real Billy Connolly? Only one person can answer that question: his wife, Pamela Stephenson. Pamela's writing combines the very personal with a frank objectivity that makes for a compelling, moving and hugely entertaining biography. This is the real Billy Connolly. This genre-defining book is now re-released for a new generation of comedy fans, with a stunning package and a new Foreword from the author. Pamela's vision of Billy is as true now as it ever was -- as groundbreaking, as moving and as laugh-out-loud funny -- and here she brings the book fully into its context, as one of the most influential biographies ever written.""]",Billy,Visit Amazon's Pamela Stephenson Page,"3,029,755 in Books (",$18.20,0007110928
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""Praise for INTO THE WILDERNESS: 'Into the Wilderness is one of those rare stories that let you breathe the air of another time, and leave your footprints on the snow of a wild, strange place.' Diana Gabaldon 'Each time you open a book, you hope to discover a story that will make your spirit of adventure and romance sing. This book delivers on that promise.' Amanda Quick 'Epic in scope, emotionally intense' BookPage"", 'Sara Donati lives with her husband and daughter in the North-West of the USA.']",Dawn on a Distant Shore,Visit Amazon's Sara Donati Page,"8,588,462 in Books (",$3.51,000710829X
"['Books', 'Literature & Fiction', 'Essays & Correspondence']","['', '<strong>J.R.R.TOLKIEN</strong>&#40;1892-1973&#41; was a distinguished academic, though he is best known for writing<i>The Hobbit, The Lord of the Rings</i>and<i>The Silmarillion</i>, plus other stories and essays. His books have been translated into over 30 languages and have sold many millions of copies worldwide.']",Tree and Leaf : Including 'Mythopoeia,Visit Amazon's J.R.R. Tolkien Page,"101,042 in Books (",$12.98,0007105045
"['Books', 'Literature & Fiction', 'Action & Adventure']","[""Praise for Laurie R King: 'A compelling, effective piece of writing' Publishers Weekly (Night Work) 'Brilliantly written it is both intriguing and wholly absorbing' T. J. Binyon, Evening Standard (Birth of a New Moon) 'Well-written and totally gripping' Guardian (Birth of a New Moon) 'Pacy, skilfully layered narrative, notable for its wit, affection and unflashy know-how' Literary Review (of With Child) 'Original, and subtle' Evening Standard (of To Play the Fool)"", 'Laurie King is a third-generation native of San Francisco, but since her marriage to an Anglo-Indian profesor she has lived briefly on five continents. She and her husband have two children and now live mostly in California.']",Folly,Visit Amazon's Laurie R. King Page,"14,324,929 in Books (",$5.46,0007111347
"['Books', 'Arts & Photography', 'Graphic Design']","['Artists the world over have endeavored to capture the essence of J.R.R. Tolkien&#8217;s Middle&#8211;earth: the passion and heroism of the characters, the heart&#8211;stopping drama of the action, the mythic grandeur of Middle&#8211;earth itself. Few have succeeded. Pre&#8211;eminent among those who have is John Howe. Now, in <B>Myth and Magic,</B> which features 250 of his paintings and sketches, we are offered a splendid gallery of his work, including all the Tolkien pieces as well as a selection of his other fantasy paintings. From the beloved picture of &#8220;Smaug&#8221; that adorns <B>The Hobbit</B> to the spectacular images that appear on best&#8211;selling novels, this collection will delight both Tolkien fans and all who have been captivated by one of the finest fantasy artists in the world.']",Myth and Magic: The Art of John Howe,Visit Amazon's John Howe Page,"547,089 in Books (",,0007107951
"['Books', 'Literature & Fiction', 'Genre Fiction']",['BLACKWATER SOUND'],Blackwater Sound,James Hall,"2,301,487 in Books (",$35.91,0007112750
"['Books', 'Teen & Young Adult']","[""Can a ghost from the future save a life in the past? A chilling tale of dark forces and revenge! The ghost turns up one summer day, alone in a world she once knew, among people who were once her family. She knows she is one of four sisters, but which one? She can be sure of only one thing -- that there's been an accident. As she struggles to find her identity, she becomes aware of a malevolent force stirring around her. Something terrible is about to happen. One of the sisters will die -- unless the ghost can use the future to reshape the past. But how can she warn them, when they don't even know she exists?""]",The Time of the Ghost,Visit Amazon's Diana Wynne Jones Page,"188,996 in Books (",$14.40,0007112173
"['Books', 'Science Fiction & Fantasy', 'Fantasy']","[""The fifth book in the Megan Lindholm (Robin Hobb) backlist. Seattle: a place as magical as the Emerald City. Subtle magic seeps through the cracks in the paving stones of the sprawling metropolis. But only the inhabitants who possess special gifts are open to the city's consciousness; finding portents in the graffiti, reading messages in the rubbish or listening to warnings in the skipping-rope chants of children. Wizard is bound to Seattle and her magic. His gift is the Knowing -- a powerful enchantment allowing him to know the truth of things; to hear the life-stories of ancient mummies locked behind glass cabinets, to receive true fortunes from the carnival machines, to reveal to ordinary people the answers to their troubles and to safeguard the city's equilibrium. The magic has its price; Wizard must never have more than a dollar in his pocket, must remain celibate, and he must feed and protect the pigeons. But a threat to Seattle has begun to emerge in the portents. A malevolent force born of Wizard's forgotten past has returned to prey upon his power and taunt him with images of his obscure history; and he is the only wizard in Seattle who can face the evil and save the city, his friends and himself.""]",Wizard of the Pigeons,Visit Amazon's Megan Lindholm Page,"899,547 in Books (",$16.41,0007112564
"['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense']",[],Dead Man's Mirror,Visit Amazon's Agatha Christie Page,"5,901,905 in Books (",$10.50,0007111932
"['Books', 'Literature & Fiction', 'Short Stories & Anthologies']","[""Agatha Christie's complete Tommy and Tuppence short story collection, reissued with a striking new cover designed to appeal to the latest generation of Agatha Christie fans and book lovers. Tommy and Tuppence Beresford were restless for adventure, so when they were asked to take over Blunt's International Detective Agency, they leapt at the chance. After their triumphant recovery of a pink pearl, intriguing cases kept on coming their way: a stabbing on Sunningdale golf course; cryptic messages in the personal columns of newspapers; and even a box of poisoned chocolates.""]",Partners in Crime (Tommy &amp; Tuppence Chronology),Visit Amazon's Agatha Christie Page,"9,114,795 in Books (",$28.28,0007111509
"['Books', 'Teen & Young Adult', 'Science Fiction & Fantasy']","['This is the story of Ayna and Ceri, who both had Gifts, and of Gair, who thought he was ordinary. Gair spent his time gazing out onto the Moor and brooding. Ayna could answer questions about the future, Ceri could find things which were lost. Gair seems to have no Gift and knew he was a disappointment to his jovial, heroic father -- who is Chief. Perhaps his feelings of not fitting in was what made him so curious about these other different sorts of beings who lived on the Moor -- the Giants and the Dorig. Certainly it was because he believed he was ordinary that he did his best to become wise, and to learn as much as he could abou the three great Powers of Sun, Moon and Earth. And when the crisis came, Gair found the knowledge he had gained was to help save not only his own life but those of all his people.']",Power of Three,Visit Amazon's Diana Wynne Jones Page,"1,168,557 in Books (",$12.65,0007113706
"['Books', 'Literature & Fiction', 'Contemporary']","[""'Mailer writes like an angel - a master of small surprises that are precursors of seismic shocks.' London Review of Books"", ""Norman Mailer was born in New Jersey in 1923. He grew up in Brooklyn and entered Harvard University to study engineering when he was only sixteen. During the Second World War, Mailer served in the Philippines, an experience which formed the basis of his famous debut novel, the bestselling The Naked and the Dead. A major figure in post-war American literature, Mailer's other works include Barbary Shore, The Deer Park, Advertisements for Myself, Armies of the Night (for which he was awarded both the Pulitzer Prize and the National Book Award) and, most recently, The Gospel According to the Son.""]",An American Dream (1960s A S.),Visit Amazon's Norman Mailer Page,"13,976,882 in Books (",$46.90,0007115288
"['Books', 'Literature & Fiction']","[""Stylish, atmospheric psychological thriller following on from the Silver Dagger Award winner, Forty Words for Sorrow. A gruesome discovery in the wilderness above Algonquin Bay leads detectives John Cardinal and Lisa Delorme to a remote cabin that has served as an abattoir for a cold-blooded killer! But the woods hide other horrors and soon a second body is discovered, naked and shrouded in ice. When one of the victims is identified as an American the Mounties have to be called in, but it's the Canadian Secret Service that arouses the most mistrust. Is their interference due to a suspected terrorist link, or is there something even more sinister behind it? With Northern Ontario in the grip of an ice storm of once-in-a-hundred years severity, the woods take on a glittering, lethal beauty. And in this winter wonderland John Cardinal must hunt down and confront a killer.""]",The Delicate Storm,Visit Amazon's Giles Blunt Page,"2,802,535 in Books (",$43.49,0007115784
"['Books', ""Children's Books"", 'Classics']","['The pigs are off to the beach for a picnic but Dingo Dog is around and he is driving terribly! Officer Flossy is going to give him a ticket - if she can catch him! This is just the beginning of a mad chase involving cars, planes, boats and even diggers.']",Cars and Trucks and Things That Go,Visit Amazon's Richard Scarry Page,"905,002 in Books (",$37.37,0007111444
"['Books', 'History', 'Ancient Civilizations']","['`It is a lively narrative that moves with immense speed towards its grim conclusion...Recent events have enhanced Kagan\'s reputation among American conservatives as a sage.\' Daily Telegraph `It is a daunting task to cover the same ground as a great classical historian, but Donald Kagan achieves it splendidly with ""The Peloponnesian War"".\' Sunday Times, Books of the Year `Kagan\'s narrative of one of the critical episodes in the history of the ancient world is as good an account of the subject as one could ask for.\' Spectator', 'Donald Kagan is Sterling Professor of History and Classics at Yale University. and is an internationally recognised authority on ancient Greek history and culture, as well as a scholar of diplomatic history. He is the author of a four-volume history of the Peloponnesian War that is considered the landmark academic work in the field as well as the highly acclaimed Pericles of Athens and the Birth of Democracy and On the Origins of War and the Preservation of Peace. His writing has appeared in The Wall Street Journal, Commentary, The Public Interest and the New York Times Book Review.']",The Peloponnesian War,Donald M. Kagan,"8,513,786 in Books (",$15.31,0007115067
"['Books', 'Science Fiction & Fantasy', 'Fantasy']","[""A reissue of classic backlist titles from the author of the best selling Farseer Trilogy and The Liveship Traders books. HARPY'S FLIGHT was Lindholm's first novel, and the first in the WINDSINGERS series, which introduced her popular gypsy characters, Ki and Vandien. Harpies don't give up of blood debts. Neither do the men who serve them. A life must be given in return. Devastated by the slaughter of her family and haunted by memories of her own violent revenge, Ki rejects the comfort of her husband's gypsy people and wants only to wander in solitude as an outcast. Across mountains sheathed with ice, through the treacherous shadow of the impassable Sisters, Ki finds herself running for her life, pursued by frenzied Harpies sworn to vengeance; and by one stubborn, dark-haired man who seems intent on being part of her future.""]",Harpy's Flight,Visit Amazon's Megan Lindholm Page,"1,770,643 in Books (",$13.71,0007112521
"['Books', ""Children's Books""]",[],What Do People Do All Day?,Visit Amazon's Richard Scarry Page,"3,745,620 in Books (",$6.94,0007111584
"['Books', 'Humor & Entertainment', 'Movies']","[""Jude Fisher was born in Cornwall and now lives outside London. She has worked in the book industry, as a bookseller and a publisher, for nearly twenty years, has a Master's degree in Scandinavian Studies, specializing in Old Icelandic texts, and has published, under the pseudonym of Gabriel King, four novels.""]",Return of King: Visual Companion (The Lord of the Rings),Visit Amazon's Jude Fisher Page,"4,396,681 in Books (",$4.96,0007116268
"['Books', 'Humor & Entertainment', 'Movies']",['Lord of the Rings: Two Towers Visual Commentary'],Lord of the Rings: Two Towers Visual Commentary,Visit Amazon's Jude Fisher Page,"13,010,451 in Books (",$62.53,000711625X
"['Books', 'Mystery, Thriller & Suspense', 'Mystery']","[""'A fantasy that does not flinch from its premise all the way to a satisfying conclusion ... The story pulled me under and carried me off with it.' ROBIN HOBB `The Bone Doll's Twin is a thoroughly engrossing new fantasy. It got its hooks into me on the first page, and didn't let loose until the last. I am already looking forward to the next instalment.' GEORGE RR MARTIN `Original, well-written, and totally absorbing ... by turns poignant, spooky, and earthy ... a moving and thoroughly recommended read' STARBURST"", 'Lynn Flewelling was born in Presque Isle, Maine, in 1958. She received her BS from University of Maine, 1981 and went on to study on a Veterinary Med. Program. She has had a variety of jobs including, house painter, sales clerk, teacher, and copy writer. Among her favourite writers and influences are: Tom Stoppard, Mary Renault, Umberto Eco, Stephen King, Peter Straub, Ray Bradbury, and Anne Rice. Lynn Flewelling currently lives in western New York, with her husband Doug, their two sons, and creatures that shed too much.']",The Bone Doll's Twin (The Tamir Triad),Visit Amazon's Lynn Flewelling Page,"4,463,309 in Books (",$44.03,0007113080
"['Books', 'Mystery, Thriller & Suspense']","[""An archaeologist's wife is murdered on the shores of the River Tigris in Iraq! It was clear to Amy Leatheran that something sinister was going on at the Hassanieh dig in Iraq; something associated with the presence of 'Lovely Louise', wife of celebrated archaeologist Dr Leidner. In a few days' time Hercule Poirot was due to drop in at the excavation site. But with Louise suffering from terrifying hallucinations, and tension within the group becoming almost unbearable, Poirot might just be too late!""]",Murder in Mesopotamia (Poirot),Visit Amazon's Agatha Christie Page,"3,311,050 in Books (",$2.94,0007113803
"['Books', 'Travel', 'Asia']",['New'],"Tamerlane : Sword of Islam, Conqueror of the World",Visit Amazon's Justin Marozzi Page,"5,806,420 in Books (",$68.70,000711611X
"['Books', 'Literature & Fiction', 'Genre Fiction']","[""Len Deighton's third novel has become a classic, as compelling and suspenseful now as when it first exploded on to the bestseller lists. In Berlin, where neither side of the wall is safe, Colonel Stok of Red Army Security is prepared to sell an important Russian scientist to the West - for a price. British intelligence are willing to pay, providing their own top secret agent is in Berlin to act as go-between. But it soon becomes apparent that behind the facade of an elaborate mock funeral lies a game of deadly manoeuvres and ruthless tactics. A game in which the blood-stained legacy of Nazi Germany is enmeshed in the intricate moves of cold war espionage""]",Funeral in Berlin,Visit Amazon's Len Deighton Page,"987,586 in Books (",$27.50,0007115237
"['Books', 'Business & Money', 'Management & Leadership']","[""With a new foreword by Ken Blanchard How management can effectively rid themselves of 'monkeys' -- other people's responsibilities that cling to them and prevent them managing efficiently. This book explains in simple-minded if abstract terms how to achieve a balance between supervision and delegation for reduced tension and improved productivity in the workplace. 'There is a high correlation between self-reliance and morale,' stress the authors. With humour and logic they describe the delicate business of assigning monkeys to the right masters and keeping them healthy, i.e., fed and cared for: '! if monkeys are managed properly, you don't have to manage people so much.'""]",The One Minute Manager Meets the Monkey,Visit Amazon's Ken Blanchard Page,"185,712 in Books (",$15.50,0007116985
"['Books', 'Literature & Fiction', 'Contemporary']","[""A new novel from Paulo Coelho, author of The Alchemist. A stranger arrives in the small mountain village. He carries with him a backpack containing a notebook and eleven gold bars. Burying these in the vicinity, the stranger strikes up a curious friendship with a young woman from the village -- Miss Prym. His mission is to discover whether human beings are essentially good or evil. In this stunning new novel, Paulo Coelho's unusual protagonist sets the town a moral challenge from which they may never recover. A fascinating meditation on the human soul, The Devil and Miss Prym illuminates the reality of good and evil within us all, and our uniquely human capacity to choose between them.""]",The Devil and Miss Prym,Visit Amazon's Paulo Coelho Page,"815,474 in Books (",$11.65,0007116055
"['Books', 'Literature & Fiction', 'Contemporary']","[""The fourth sparkling novel from the bestselling author of THE TRIALS OF TIFFANY TROTT, THE MAKING OF MINTY MALONE and OUT OF THE BLUE has Rose, a prickly agony aunt, fall for the charms of Theo, accountant by day, astronomer by night. who soon has her starry-eyed. But the starcross'd lovers have many obstacles to overcome on the path of true love. Agony aunt Rose has more than a few thorns digging in her side at present. Her seven-month marriage is in tatters, the bills are mounting up at an alarming rate and to top it off, she's being plagued by a stalker who seems to know rather a lot about the mysterious circumstances of her birth. It's usually Rose who dishes out the advice, but now she must rely on her wacky friends to come up with some solutions.They suggest she advertise for a lodger and at first, geeky accountant Theo seems the perfect choice for the now resolutely single Rose. However, she becomes intrigued by her new housemate's fascination with astronomy and he soon has her starry-eyed. But the path of true love never did run smooth, and the starcross'd lovers face stiff opposition in many forms, including the increasingly deranged stalker who is intent on getting Rose's attention by fair means or foul!""]",Rescuing Rose,Visit Amazon's Isabel Wolff Page,"704,013 in Books (",$19.98,0007118619
